timestamp,open,high,low,close,volume
2022-12-30,140.5400,140.9000,139.4500,140.8900,2858110
2022-12-29,140.5800,142.2600,140.4500,141.0600,2337207
2022-12-28,142.4000,142.8100,139.9500,140.0200,2539577
2022-12-27,141.7300,142.7200,141.2300,142.4200,2742525
2022-12-23,140.5900,141.8565,139.6000,141.6500,2092715
2022-12-22,140.9500,141.4400,138.6200,140.8800,3337851
2022-12-21,141.8400,143.0900,140.9750,142.1400,3793700
2022-12-20,138.8400,141.4250,138.3400,141.2800,5156450
2022-12-19,140.1600,140.4400,137.1950,138.8700,5282860
2022-12-16,141.2500,141.9150,138.9700,140.1600,9834427
2022-12-15,148.5200,148.9800,141.5800,142.3600,6687744
2022-12-14,150.4700,151.9100,148.4500,149.8600,4205878
2022-12-13,150.3700,153.2100,149.9500,150.5700,8811553
2022-12-12,147.8200,149.2100,146.9426,149.2100,4032780
2022-12-09,147.4000,148.3400,146.9700,147.0500,3047581
2022-12-08,147.9000,149.1530,147.3650,147.7800,2665687
2022-12-07,147.3300,148.1050,146.2900,147.2700,3971285
2022-12-06,147.3000,147.8000,146.7000,147.5000,2847610
2022-12-05,147.9400,148.9300,146.8000,147.4100,2784767
2022-12-02,148.1300,149.1600,147.7300,148.6700,2899995
2022-12-01,149.9800,150.0100,147.3400,149.1600,4495924
2022-11-30,146.1900,149.6400,145.6700,148.9000,6377582
2022-11-29,145.9100,147.1668,145.7000,146.4900,2754744
2022-11-28,147.9800,148.2400,145.9350,146.1800,3538696
2022-11-25,148.2700,149.4900,148.1010,148.3700,2075156
2022-11-23,149.1000,150.4600,148.3000,148.7500,3658459
2022-11-22,147.6000,149.3500,147.0200,149.1000,7062060
2022-11-21,147.5500,147.9280,146.4500,146.6800,3476208
2022-11-18,146.5600,148.3100,145.9400,147.6400,4661735
2022-11-17,143.4100,146.1800,143.2500,146.0900,3955162
2022-11-16,144.1300,144.9500,144.0081,144.5200,3445302
2022-11-15,144.0800,146.1609,142.0000,144.3400,4727107
2022-11-14,142.6300,146.0800,142.1800,144.2000,5245624
2022-11-11,141.5000,144.1300,140.9600,143.1700,5871264
2022-11-10,140.2600,141.3700,138.2900,141.2300,5389025
2022-11-09,137.9500,138.9000,136.9400,137.3900,4720007
2022-11-08,139.0000,140.9300,138.7200,140.0400,5042756
2022-11-07,136.6400,138.7000,136.5100,138.3400,4043062
2022-11-04,135.6500,137.7300,134.9400,136.9600,4177972
2022-11-03,136.4200,136.4800,133.9700,134.4700,4442443
2022-11-02,137.7500,140.1700,136.8000,136.8300,5365264
2022-11-01,138.2500,138.6500,136.7000,138.2000,3590607
2022-10-31,138.0600,138.7699,136.5950,138.2900,4915270
2022-10-28,135.5600,138.8615,135.2200,138.5100,5965457
2022-10-27,135.5500,136.4000,134.4450,134.7700,3993168
2022-10-26,133.7200,135.8630,132.8100,135.0100,5140023
2022-10-25,132.0000,133.3000,131.3000,132.9300,5957623
2022-10-24,130.9000,133.1100,129.8500,132.6900,5610914
2022-10-21,128.3900,130.8450,127.5900,129.9000,7201256
2022-10-20,126.2500,128.9600,125.1500,128.3000,13623115
2022-10-19,122.3600,123.9400,121.9875,122.5100,5906576
2022-10-18,123.0000,123.9400,121.8200,122.9400,5120336
2022-10-17,121.8000,122.8750,121.4300,121.5200,5458585
2022-10-14,121.8000,122.5400,119.8400,120.0400,3763840
2022-10-13,116.1000,122.1500,115.5450,121.7900,5837645
2022-10-12,118.0000,118.8100,117.2000,117.5700,3338754
2022-10-11,117.4600,119.2300,116.9400,117.8000,4043265
2022-10-10,119.7900,119.9600,117.0400,117.7500,5990008
2022-10-07,121.5000,121.8016,118.0700,118.8200,4499672
2022-10-06,124.8800,125.3000,121.7700,122.2300,5074624
2022-10-05,124.7100,126.4600,124.2300,125.7400,3212872
2022-10-04,122.8000,125.6500,122.5200,125.5000,4566055
2022-10-03,120.1600,122.2100,119.6000,121.5100,4261729
2022-09-30,121.6600,122.4300,118.6100,118.8100,5346108
2022-09-29,121.8500,122.6200,120.5700,121.6300,3817723
2022-09-28,121.6500,123.2300,119.8100,122.7600,4996378
